Date,Open,High,Low,Close,Volume,Adj Close
2017-04-03,13.26,13.26,13.20,13.20,1000,13.20
2017-03-31,13.09,13.32,13.08,13.32,5600,13.32
2017-03-30,13.02,13.10,12.92,13.10,3000,13.10
2017-03-29,12.94,13.01,12.90,13.01,2700,13.01
2017-03-28,12.84,12.84,12.84,12.84,000,12.84
2017-03-27,13.00,13.00,12.84,12.84,1600,12.84
2017-03-24,12.62,13.05,12.60,13.05,23300,13.05
2017-03-23,12.63,12.77,12.62,12.77,4200,12.77
2017-03-22,12.61,12.83,12.60,12.61,32500,12.61
2017-03-21,12.99,13.00,12.65,12.70,9100,12.70
2017-03-20,12.61,12.80,12.61,12.80,11700,12.80
2017-03-17,12.50,12.73,12.50,12.61,47100,12.61
2017-03-16,12.85,12.85,12.80,12.80,2500,12.80
2017-03-15,12.92,13.09,12.87,12.87,4400,12.87
2017-03-14,12.95,12.95,12.95,12.95,2400,12.95
2017-03-13,13.00,13.00,13.00,13.00,000,13.00
2017-03-10,13.17,13.17,12.97,13.00,3700,13.00
2017-03-09,13.12,13.12,13.05,13.09,2200,13.09
2017-03-08,13.19,13.20,13.15,13.15,4800,13.15
2017-03-07,13.18,13.18,13.10,13.15,3000,13.15
2017-03-06,13.25,13.25,13.25,13.25,600,13.25
2017-03-03,13.31,13.37,13.31,13.37,1000,13.37
2017-03-02,13.51,13.51,13.16,13.42,2700,13.42
2017-03-01,13.54,13.54,13.24,13.25,5200,13.25
2017-02-28,13.61,13.62,13.52,13.52,3300,13.52
2017-02-27,13.60,13.85,13.60,13.85,400,13.85
2017-02-24,13.88,13.88,13.65,13.87,2700,13.87
2017-02-23,13.87,13.88,13.87,13.88,200,13.88
2017-02-22,13.60,13.85,13.60,13.85,2500,13.85
2017-02-21,13.65,13.72,13.61,13.61,3100,13.61
2017-02-17,13.48,13.62,13.33,13.61,5300,13.61
2017-02-16,13.19,13.60,13.19,13.37,5400,13.37
2017-02-15,13.22,13.30,13.07,13.28,3900,13.28
2017-02-14,13.17,13.17,13.07,13.07,2100,13.07
2017-02-13,13.10,13.20,13.04,13.19,3500,13.19
2017-02-10,13.01,13.25,12.99,13.00,5800,13.00
2017-02-09,13.14,13.14,12.93,12.99,1000,12.99
2017-02-08,12.94,13.03,12.93,13.03,3100,13.03
2017-02-07,12.97,12.99,12.97,12.99,14900,12.99
2017-02-06,13.23,13.23,12.95,12.97,25800,12.97
2017-02-03,13.20,13.28,13.10,13.28,3000,13.28
2017-02-02,13.28,13.30,13.20,13.22,2100,13.22
2017-02-01,12.96,13.15,12.96,13.02,5100,13.02
2017-01-31,12.90,12.96,12.89,12.96,300,12.96
2017-01-30,13.00,13.00,12.90,13.00,44800,13.00
2017-01-27,12.90,13.00,12.72,12.90,14900,12.90
2017-01-26,13.19,13.19,12.90,12.90,3500,12.90
2017-01-25,13.00,13.00,12.90,12.99,2400,12.99
2017-01-24,13.01,13.14,12.90,12.90,13500,12.90
2017-01-23,13.02,13.05,13.02,13.05,3600,13.05
2017-01-20,12.99,13.31,12.99,13.25,3300,13.25
2017-01-19,12.91,12.99,12.91,12.99,300,12.99
2017-01-18,12.78,13.00,12.78,13.00,2800,13.00
2017-01-17,12.95,12.95,12.80,12.90,900,12.90
2017-01-16,12.93,13.00,12.93,13.00,1200,13.00
2017-01-13,12.87,13.17,12.87,13.13,4000,13.13
2017-01-12,12.92,12.97,12.91,12.95,2900,12.95
2017-01-11,13.06,13.20,12.87,13.00,3600,13.00
2017-01-10,13.35,13.35,13.24,13.24,900,13.24
2017-01-09,13.34,13.50,13.34,13.41,1100,13.41
2017-01-06,13.10,13.50,13.08,13.50,4600,13.50
2017-01-05,12.91,12.98,12.60,12.98,1800,12.98
2017-01-04,13.26,13.26,12.73,12.73,2900,12.73
2017-01-03,13.45,13.45,13.34,13.35,1000,13.35
2016-12-30,13.21,13.65,13.16,13.41,2100,13.41
2016-12-29,12.99,13.26,12.99,13.26,3100,13.26
2016-12-28,12.91,13.00,12.91,13.00,500,13.00
2016-12-23,12.98,13.05,12.75,12.88,17700,12.88
2016-12-22,12.41,13.00,12.33,12.88,3800,12.88
2016-12-21,12.20,12.56,12.20,12.41,9400,12.41
2016-12-20,12.10,12.20,12.08,12.20,2900,12.20
2016-12-19,11.95,12.25,11.95,12.08,7200,12.08
2016-12-16,12.25,12.25,11.80,12.02,9600,12.02
2016-12-15,11.98,12.25,11.90,12.25,6800,12.25
2016-12-14,12.03,12.24,12.00,12.24,6900,12.24
2016-12-13,11.88,12.11,11.75,12.10,5500,12.10
2016-12-12,12.04,12.04,11.75,11.80,3000,11.80
2016-12-09,11.71,11.91,11.53,11.75,3000,11.75
2016-12-08,11.10,12.24,11.10,11.50,9400,11.50
2016-12-07,11.52,11.54,11.40,11.50,5300,11.50
2016-12-06,12.30,12.32,11.81,11.81,5700,11.81
2016-12-05,12.48,12.50,11.69,11.90,4100,11.90
2016-12-02,11.15,12.21,11.15,12.21,4400,12.21
2016-12-01,11.49,11.49,11.05,11.05,1900,11.05
2016-11-30,11.00,11.12,11.00,11.10,7100,11.10
2016-11-29,10.97,11.01,10.93,11.00,7000,11.00
2016-11-28,10.61,10.82,10.61,10.82,3700,10.82
2016-11-25,10.73,10.74,10.65,10.73,3900,10.73
2016-11-24,10.45,10.74,10.45,10.70,2100,10.70
2016-11-23,10.70,11.00,10.50,11.00,4800,11.00
2016-11-22,10.70,10.91,10.70,10.87,6500,10.87
2016-11-21,10.60,10.92,10.55,10.70,8800,10.70
2016-11-18,10.03,10.53,10.03,10.50,9800,10.50
2016-11-17,11.00,11.00,10.27,10.65,19600,10.65
2016-11-16,10.81,10.97,10.75,10.97,12900,10.97
2016-11-15,11.10,11.10,10.73,10.81,13400,10.81
2016-11-14,11.90,11.97,10.75,11.02,5800,11.02
2016-11-11,12.13,12.47,12.06,12.06,3900,12.06
2016-11-10,11.87,11.90,11.85,11.90,4400,11.90
2016-11-09,11.92,12.16,11.74,12.16,2300,12.16
2016-11-08,12.39,12.40,12.16,12.16,700,12.16
2016-11-07,12.17,12.25,12.06,12.06,8000,12.06
2016-11-04,12.13,12.34,12.00,12.09,21400,12.09
2016-11-03,12.37,12.37,12.06,12.06,3000,12.06
2016-11-02,12.50,12.75,12.36,12.36,2200,12.36
2016-11-01,12.59,12.70,12.52,12.60,3600,12.60
2016-10-31,12.64,12.76,12.44,12.65,1900,12.65
2016-10-28,12.70,12.97,12.63,12.63,2800,12.63
2016-10-27,12.81,12.98,12.58,12.84,5700,12.84
2016-10-26,12.90,12.95,12.84,12.95,4800,12.95
2016-10-25,13.03,13.05,12.61,12.82,13800,12.82
2016-10-24,13.05,13.23,13.03,13.05,3700,13.05
2016-10-21,13.16,13.25,13.14,13.24,900,13.24
2016-10-20,13.03,13.21,13.03,13.10,8400,13.10
2016-10-19,13.01,13.09,13.01,13.03,1800,13.03
2016-10-18,13.01,13.10,13.01,13.10,2200,13.10
2016-10-17,13.00,13.23,13.00,13.00,2600,13.00
2016-10-14,13.02,13.02,13.02,13.02,300,13.02
2016-10-13,13.00,13.25,13.00,13.25,4200,13.25
